LLM,Benchmark prompt,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),HumanEval-X
llama-2-7b.Q2_K,CPP/0,23.867379903793335,537.0075988769531,138.26811910859305,303.95824316639994,22.5,5.794057846069336,3.072535664175268,5.958448247006035e-05,2.496481922617336e-06,0.0
llama-2-7b.Q2_K,CPP/1,65.54395484924316,1474.7176712751389,360.6369939863476,-28.197022557600015,22.5,5.794057846069336,3.0416286760680857,0.00010996202864089291,1.6776837603683698e-06,0.0
llama-2-7b.Q2_K,Go/0,31.59614372253418,710.9062653779984,173.6444036470175,-38.090030471999995,22.5,5.794057846069336,21.545680510420027,5.1505483960264945e-05,1.6301193086272597e-06,0.0
llama-2-7b.Q2_K,Go/1,31.63231348991394,711.7131006717681,268.3484105408388,-63.22005057600001,22.5,5.794057846069336,0.0,5.578802013245296e-05,1.7636402139932364e-06,0.0
llama-2-7b.Q2_K,Java/0,74.83643245697021,1683.7962341308594,405.05682265057203,-305.01624401280003,22.5,5.794057846069336,23.95081055061304,0.00010854300148539085,1.4504032049871082e-06,0.0
llama-2-7b.Q2_K,Java/1,55.14015865325928,1240.636521577835,309.9327093200691,286.07022885599997,22.5,5.794057846069336,3.4839668574161085,0.00011175593988263109,2.0267613045038877e-06,0.0
llama-2-7b.Q2_K,JavaScript/0,75.84743547439575,1706.5402990579605,420.297266183959,276.70622136479994,22.5,5.794057846069336,3.2893797380718968,0.00014625096585765604,1.9282255878911924e-06,0.0
llama-2-7b.Q2_K,JavaScript/1,76.65536189079285,1724.719206690788,504.3863794208847,-322.81225824959995,22.5,5.794057846069336,0.0,0.0001159942423189363,1.5131915036052876e-06,0.0
llama-2-7b.Q2_K,Python/0,43.70666575431824,983.386026620865,234.31954051563937,-259.3732074984,22.5,5.794057846069336,25.788908633360435,5.831266065994603e-05,1.3341823187275436e-06,0.0
llama-2-7b.Q2_K,Python/1,16.986573219299316,382.18895494937897,98.40002876622977,266.7122133696,22.5,5.794057846069336,3.080582083149274,4.547182475697395e-05,2.6769274867818e-06,0.0
llama-2-7b.Q3_K_L,CPP/0,31.6383273601532,711.8500971794128,265.8587265793085,-38.84203107359999,22.5,5.794057846069336,0.0,5.712821876057052e-05,1.8056649490428024e-06,0.0
llama-2-7b.Q3_K_L,CPP/1,90.29932188987732,2031.7105972766876,494.61359117047556,-65.1060520848,22.5,5.794057846069336,22.660080582180292,0.000149760337895718,1.658487957178185e-06,0.0
llama-2-7b.Q3_K_L,Go/0,50.91669201850891,1145.608538389206,275.9668399267093,-162.04612963679998,22.5,5.794057846069336,27.96059698480352,7.663990569747395e-05,1.5052019811030594e-06,0.0
llama-2-7b.Q3_K_L,Go/1,91.1276023387909,2050.3396385908122,499.2087707252767,139.06611125279997,22.5,5.794057846069336,3.392857001428966,0.00016359696571504912,1.7952515101498474e-06,0.0
