LLM,Benchmark prompt,Execution time,Package,DRAM,HumanEval pass@1
llama-2-7b.Q2_K,HumanEval/0,42.57696080207825,1617849741.0,91294505.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/1,17.95851159095764,646511651.0,26099848.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/2,12.799296140670776,433226063.0,17706619.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/3,41.79407453536987,1424611649.0,86919638.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/4,13.913038492202759,495805982.0,16959917.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/5,25.460272550582886,864960188.0,48798948.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/6,35.74130201339722,1241324093.0,71875976.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/7,10.89364504814148,404835634.0,13035183.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/8,14.960644483566284,517436786.0,19564525.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/9,31.10693597793579,1055915083.0,62891135.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/10,62.46098875999451,2154692543.0,132350125.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/11,27.686863899230957,1034443519.0,57396887.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/12,29.85879135131836,1073130493.0,60006804.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/13,15.062757015228271,578799177.0,27066886.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/14,12.6005220413208,437274698.0,22691898.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/15,12.687327146530151,488738861.0,21195320.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/16,20.830838918685913,710013746.0,40266194.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/17,24.581953763961792,888142258.0,36052947.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/18,14.785258531570435,570060797.0,23695008.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/19,64.74771761894226,2191205084.0,145903252.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/20,27.173091650009155,1053733874.0,44342111.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/21,19.26949954032898,659872701.0,29256212.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/22,10.856370449066162,428288516.0,14122584.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/23,18.060353994369507,675243877.0,38968223.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/24,22.388062238693237,765762688.0,47822753.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/25,27.80533790588379,943566676.0,50412407.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/26,14.001068353652954,478452023.0,21697882.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/27,39.6349663734436,1536292454.0,91667857.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/28,6.972282409667969,242091787.0,8391641.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/29,10.78676438331604,424748180.0,13758022.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/30,60.123206615448,2322660253.0,134717306.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/31,76.49877667427063,2586241731.0,174424175.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/32,39.78269577026367,1542280597.0,61314663.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/33,29.32959294319153,997954232.0,51003288.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/34,19.95199751853943,787315245.0,39819967.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/35,52.28705024719238,1975462533.0,119129883.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/36,21.441381692886353,731129964.0,40393573.0,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/37,74.56795239448547,2869182718.0,170801320.0,0.042682926829268296
