LLM,Benchmark prompt,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),MBPP+ pass@1
llama-2-7b.Q2_K,Mbpp/2,27.47427487373352,618.1516098976135,149.77823098251267,-36.35602908479998,22.5,5.794056415557861,26.037182705559207,4.451484394311155e-05,1.6202372636836898e-06,0.037
llama-2-7b.Q2_K,Mbpp/3,27.225289344787598,612.5611084699631,148.17125249465354,-57.00404560319999,22.5,5.794056415557861,27.61727015346546,4.2820499629129e-05,1.5728207361486562e-06,0.037
llama-2-7b.Q2_K,Mbpp/4,43.17403841018677,971.4032256603241,240.5972358909909,229.255183404,22.5,5.794056415557861,24.87632164422507,8.769760355399905e-05,2.0312578295503416e-06,0.037
llama-2-7b.Q2_K,Mbpp/6,16.692755699157715,375.57776570320124,87.13629798489683,-292.8932343144,22.5,5.794056415557861,0.0,1.0333267260221301e-05,6.190270466093683e-07,0.037
llama-2-7b.Q2_K,Mbpp/7,13.82430100440979,311.0437256097793,80.09034503148257,241.47619318079995,22.5,5.794056415557861,17.468860768191114,3.8493104478059476e-05,2.7844521372748343e-06,0.037
llama-2-7b.Q2_K,Mbpp/8,16.276503086090088,366.2161481380463,84.77956574784308,-306.32524506,22.5,5.794056415557861,20.93458952467466,8.802916724365987e-06,5.408358710593658e-07,0.037
llama-2-7b.Q2_K,Mbpp/9,30.503478527069092,686.3201880455017,167.27208175846314,-59.68604774880002,22.5,5.794056415557861,22.247936142200736,4.8307649905513896e-05,1.5836767555098743e-06,0.037
llama-2-7b.Q2_K,Mbpp/11,30.921345710754395,695.7233959436417,169.68324572124357,-60.95504876399998,22.5,5.794056415557861,22.147917468119065,4.894931521658822e-05,1.583026679190218e-06,0.037
llama-2-7b.Q2_K,Mbpp/12,35.73668432235718,804.0613049268723,197.6107837478817,49.15903932720003,22.5,5.794056415557861,26.73626181990715,6.394103085617e-05,1.7892267307005853e-06,0.037
llama-2-7b.Q2_K,Mbpp/14,8.370934963226318,188.34289312362668,48.493747037546996,133.46610677280003,22.5,5.794056415557861,15.945974218379677,2.2532202117813263e-05,2.691718692929484e-06,0.037
llama-2-7b.Q2_K,Mbpp/16,50.067999601364136,1126.5094184875488,270.84511565266973,-220.805176644,22.5,5.794056415557861,27.42845818331517,7.15907406687831e-05,1.4298702013018424e-06,0.037
llama-2-7b.Q2_K,Mbpp/17,5.956271648406982,134.01255548000336,34.50275180078438,147.41311793040003,22.5,5.794056415557861,24.75369749580844,1.922363036882953e-05,3.2274603147039024e-06,0.037
llama-2-7b.Q2_K,Mbpp/18,21.500823736190796,483.75958085060114,115.08445356620005,-184.8241478592,22.5,5.794056415557861,27.036775149784955,2.5192305058361725e-05,1.1716902276612464e-06,0.037
llama-2-7b.Q2_K,Mbpp/19,23.3749783039093,525.9276831150055,125.88745544131018,-17.826014260799994,22.5,5.794056415557861,27.037062747253255,3.857700545675155e-05,1.650354706438372e-06,0.037
llama-2-7b.Q2_K,Mbpp/20,36.50208044052124,821.28133893013,201.93504957198206,87.71907017519995,22.5,5.794056415557861,3.399267142654109,6.759826250823367e-05,1.8519016366308896e-06,0.037
llama-2-7b.Q2_K,Mbpp/56,16.884493589401245,379.89083290100103,88.21132560405636,-338.42327073840005,22.5,5.794056415557861,20.087704680458256,7.890708167208221e-06,4.673346064794852e-07,0.037
llama-2-7b.Q2_K,Mbpp/57,26.656530141830444,599.7617197036743,145.03077827959578,-69.76605581279998,22.5,5.794056415557861,31.9694755354135,4.107404645465777e-05,1.5408624541947717e-06,0.037
llama-2-7b.Q2_K,Mbpp/58,27.60380983352661,621.0774064064026,150.40540663484592,-64.24805139840001,22.5,5.794056415557861,30.73641096612011,4.303386006726413e-05,1.5589826305424235e-06,0.037
llama-2-7b.Q2_K,Mbpp/59,29.337040185928345,660.0745421648024,160.5852486185214,-66.78305342640002,22.5,5.794056415557861,26.370585752545946,4.587193359673507e-05,1.563618323662309e-06,0.037
llama-2-7b.Q2_K,Mbpp/61,37.23777627944946,837.835391163826,206.20146191605724,95.330076264,22.5,5.794056415557861,28.288136233660126,6.932826221487935e-05,1.8617723489879758e-06,0.037
llama-2-7b.Q2_K,Mbpp/62,11.75173544883728,264.41082894802094,68.08155120055619,120.19409615519999,22.5,5.794056415557861,10.228746184568019,2.7545091859380916e-05,2.3439169456547146e-06,0.037
llama-2-7b.Q2_K,Mbpp/63,33.79920554161072,760.4728066921234,186.27747626421308,-26.359021087199977,22.5,5.794056415557861,3.4012397545506534,5.6004018635061106e-05,1.656962574641398e-06,0.037
llama-2-7b.Q2_K,Mbpp/64,46.99913454055786,1057.4656730890274,253.0604047100587,-326.2122609696,22.5,5.794056415557861,22.95232586430024,5.9893581810541494e-05,1.2743549938958211e-06,0.037
llama-2-7b.Q2_K,Mbpp/65,20.143131732940674,453.21332395076746,116.69132982966755,273.25021860000004,22.5,5.794056415557861,3.3642968514103253,5.1304334516542066e-05,2.546988978513333e-06,0.037
llama-2-7b.Q2_K,Mbpp/66,19.985204935073853,449.65823829174036,106.03685446996691,-263.4532107624,22.5,5.794056415557861,27.839133043051014,1.778235027155396e-05,8.897757280610166e-07,0.037
llama-2-7b.Q2_K,Mbpp/67,27.762887001037598,624.6555697917938,151.30936035318598,-155.84012467200003,22.5,5.794056415557861,30.742047385843076,3.7733388614797954e-05,1.3591305764918369e-06,0.037
llama-2-7b.Q2_K,Mbpp/68,20.083664417266846,451.87423110008234,116.34661674836272,283.4732267784,22.5,5.794056415557861,3.4577265460277906,5.1823928369231745e-05,2.5804020268669868e-06,0.037
llama-2-7b.Q2_K,Mbpp/69,35.237308979034424,792.824040055275,194.53944084978616,-16.05401284320003,22.5,5.794056415557861,3.618582705477334,5.910229247426524e-05,1.6772646432629137e-06,0.037
llama-2-7b.Q2_K,Mbpp/70,16.338286638259888,367.6074796915054,85.26854092973315,-347.205277764,22.5,5.794056415557861,23.592252414009938,6.429859231974076e-06,3.9354550292422154e-07,0.037
llama-2-7b.Q2_K,Mbpp/71,48.45570468902588,1090.2364736795425,271.11542180955723,276.2532210024,22.5,5.794056415557861,4.117708813955688,9.96450871063368e-05,2.0564160142924133e-06,0.037
llama-2-7b.Q2_K,Mbpp/72,16.680835008621216,375.3130102157593,180.7425821654433,-349.31727945359995,22.5,5.794056415557861,0.0,1.2579624350480595e-05,7.541363693111899e-07,0.037
llama-2-7b.Q2_K,Mbpp/74,25.350943565368652,570.3862684965134,137.4735997621815,-71.035056828,22.5,5.794056415557861,39.66082065202464,3.874955150509111e-05,1.5285250194010922e-06,0.037
llama-2-7b.Q2_K,Mbpp/75,93.14956474304199,2095.8334761857986,510.9192845271588,-24.104019283199985,22.5,5.794056415557861,28.77894115198607,0.00015714915409900348,1.6870626774532735e-06,0.037
llama-2-7b.Q2_K,Mbpp/77,19.377076148986816,435.97484171390533,112.25018008360223,254.3682034944,22.5,5.794056415557861,4.151089462212412,4.883623716107451e-05,2.5203099159843085e-06,0.037
llama-2-7b.Q2_K,Mbpp/79,16.37336254119873,368.39593648910517,85.33975955825986,-378.47930278319996,22.5,5.794056415557861,25.695926812869935,4.579205198248652e-06,2.7967408568193824e-07,0.037
llama-2-7b.Q2_K,Mbpp/80,90.43605089187622,2034.7826385498045,495.3594418820293,-69.23105538480002,22.5,5.794056415557861,23.57948665135928,0.00014974165076934109,1.6557738788082378e-06,0.037
llama-2-7b.Q2_K,Mbpp/82,11.251357793807983,253.15211713314056,65.18286115570777,262.1242096992,22.5,5.794056415557861,23.299309567459456,3.531981291842943e-05,3.139160052119857e-06,0.037
llama-2-7b.Q2_K,Mbpp/84,25.36842632293701,570.7819855213164,137.39678089468578,-89.31707145359997,22.5,5.794056415557861,28.383787955375688,3.765653079627753e-05,1.4843857603508562e-06,0.037
llama-2-7b.Q2_K,Mbpp/85,13.77200698852539,309.8662143945694,70.28482528600921,-311.380249104,22.5,5.794056415557861,25.66835834370407,4.184568885603133e-06,3.0384597459830264e-07,0.037
llama-2-7b.Q2_K,Mbpp/86,15.166561841964722,341.2398308515548,87.85878268691624,274.6862197488,22.5,5.794056415557861,4.125870780499676,4.282393863502127e-05,2.823575908715889e-06,0.037
llama-2-7b.Q2_K,Mbpp/87,23.347768306732178,525.3160107135773,125.74429985069388,-156.4341251472,22.5,5.794056415557861,28.651844797621266,3.0097041609490464e-05,1.2890757358086416e-06,0.037
llama-2-7b.Q2_K,Mbpp/88,23.90469241142273,537.8474736213684,129.03410456218728,-51.95904156720007,22.5,5.794056415557861,28.705686137902337,3.741684067039515e-05,1.565250873193236e-06,0.037
llama-2-7b.Q2_K,Mbpp/89,22.354565620422363,502.96871960163116,119.99464473778573,-109.72508778000001,22.5,5.794056415557861,28.87606994704234,3.1229551165324984e-05,1.3970099753043171e-06,0.037
llama-2-7b.Q2_K,Mbpp/90,6.64962363243103,149.61294293403625,38.51986786327541,98.98307918639999,22.5,5.794056415557861,14.888014756862606,1.7470443624611662e-05,2.6272830750008415e-06,0.037
llama-2-7b.Q2_K,Mbpp/91,17.650638818740845,397.13021636009216,92.74032340062888,-315.1972521576,22.5,5.794056415557861,27.60195428907934,1.0628529908146242e-05,6.021612031889311e-07,0.037
llama-2-7b.Q2_K,Mbpp/92,25.43668270111084,572.3150503635406,137.85290336736,-98.49607879679998,22.5,5.794056415557861,38.9001057734104,3.7219044227760984e-05,1.46320354210872e-06,0.037
llama-2-7b.Q2_K,Mbpp/93,15.971081018447876,359.3414372205734,92.51808066615104,271.435217148,22.5,5.794056415557861,3.452630771057447,4.401107822043375e-05,2.7556730924849377e-06,0.037
llama-2-7b.Q2_K,Mbpp/94,46.65212416648865,1049.6525752544403,338.9919744253766,-342.9732743784,22.5,5.794056415557861,0.0,6.362706385238926e-05,1.3638620960820927e-06,0.037
llama-2-7b.Q2_K,Mbpp/95,42.892605781555176,965.0695592164993,239.0287918545478,244.9571959656,22.5,5.794056415557861,27.854184141562534,8.817221242917184e-05,2.0556506377397093e-06,0.037
llama-2-7b.Q2_K,Mbpp/96,16.636743783950806,374.3203246593476,177.61920705200325,-323.0992584792,22.5,5.794056415557861,0.0,1.3924485658978429e-05,8.369718161080987e-07,0.037
llama-2-7b.Q2_K,Mbpp/97,28.74079203605652,646.6591787338257,157.0471229013965,-68.44705475759999,22.5,5.794056415557861,28.620582258591973,4.473909550174549e-05,1.5566410085573993e-06,0.037
llama-2-7b.Q2_K,Mbpp/98,31.655295372009277,712.2327142953873,265.5413149867188,-64.06505125199999,22.5,5.794056415557861,0.0,5.5597414656785785e-05,1.7563385210408421e-06,0.037
llama-2-7b.Q2_K,Mbpp/99,32.824302673339844,738.5361832380295,180.60346581970745,-33.68202694559999,22.5,5.794056415557861,28.600854676495725,5.3878374582369423e-05,1.6414171877025086e-06,0.037
llama-2-7b.Q2_K,Mbpp/100,33.23951983451843,747.8766918182373,182.93945479372258,-54.11104328880001,22.5,5.794056415557861,28.459654703224246,5.3345800832846704e-05,1.604890837726494e-06,0.037
llama-2-7b.Q2_K,Mbpp/101,23.69334387779236,533.0908924341201,127.71678717650298,-115.52509242000001,22.5,5.794056415557861,48.58322935903769,3.317938515885209e-05,1.4003673491588053e-06,0.037
llama-2-7b.Q2_K,Mbpp/102,19.394651889801025,436.3710308074951,112.35353170637119,289.9842319872,22.5,5.794056415557861,3.6981165128042846,5.103379932273391e-05,2.6313336074658196e-06,0.037
llama-2-7b.Q2_K,Mbpp/103,24.183520317077637,544.1205596923828,130.5776265682308,-149.0661192528,22.5,5.794056415557861,28.36586836757249,3.198368921507295e-05,1.3225406721488385e-06,0.037
llama-2-7b.Q2_K,Mbpp/104,36.00324988365173,810.0607198476791,199.07521308442085,71.97205757760007,22.5,5.794056415557861,4.167514002986152,6.578331906808924e-05,1.8271494734690594e-06,0.037
llama-2-7b.Q2_K,Mbpp/105,17.952917337417603,403.9320087432862,94.3876307924005,-326.9042615232,22.5,5.794056415557861,28.663106074618995,1.0430292444380346e-05,5.80980363711777e-07,0.037
llama-2-7b.Q2_K,Mbpp/106,39.54621863365173,889.7760307788848,219.52290258309858,119.4070955256,22.5,5.794056415557861,28.64733937518846,7.476437270719774e-05,1.8905568039210006e-06,0.037
llama-2-7b.Q2_K,Mbpp/108,62.492112159729004,1406.0483676195145,342.9244486915901,43.13703450960002,22.5,5.794056415557861,4.0084785062642645,0.0001090463997643966,1.7449626200131542e-06,0.037
llama-2-7b.Q2_K,Mbpp/109,90.679434299469,2040.2543127536771,496.56053842288355,-24.089019271200005,22.5,5.794056415557861,3.42235151852411,0.00015289448101565696,1.6860987521241329e-06,0.037
