LLM,Benchmark prompt,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),MBPP pass@1,MBPP+ pass@1
llama-2-7b.Q2_K,Mbpp/2,41.751469373703,3265.2913722310245,488.65949469880957,71.48005720125639,73.09642164147185,11.705788135528564,1.716756499192909,0.00024929589498771514,5.970949016341283e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/3,57.974950075149536,3830.5747394573377,678.5592085484449,106.13408491906284,64.92581052467986,11.705788135528564,1.8886223264182889,0.00030076804357342593,5.187896551589228e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,173.61927103996277,11343.098139471243,2032.089902544575,311.3962490999711,64.91741800703169,11.705788135528564,1.8575606358237216,0.0008919280854492278,5.137264314650466e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/6,40.43620538711548,2695.8070846439614,473.2737226382741,77.18206177855791,64.92157567577466,11.705788135528564,1.8589550628780096,0.00021155263899889096,5.231762895988745e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/7,13.407932996749878,933.4921917931393,156.92811551246197,26.361021090792747,69.62603870685138,11.705788135528564,1.9663215030611696,7.277846765234335e-05,5.428015464425804e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/8,12.708792924880981,882.458468966224,148.74188329781998,25.31802026908281,69.44057605653731,11.705788135528564,1.9924595989193605,6.885124799670395e-05,5.417607195558956e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/9,152.99728345870972,9992.72356317249,1790.7130304423504,277.14122171573763,64.93807994825008,11.705788135528564,1.7243892807829961,0.000785964405101564,5.137113465898085e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/11,46.9440860748291,3117.7774112199354,549.4349744461047,83.80806704622046,64.95409822130387,11.705788135528564,1.9108680323413705,0.00024444670925237775,5.207188587348969e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/12,58.98349642753601,3880.881902703029,690.3666962555016,105.52808442128025,64.9171769092385,11.705788135528564,1.6748957945735892,0.00030477644272342236,5.167147781716441e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/14,158.0469982624054,10330.759588601071,1849.8396905364204,285.1082280983519,64.93382379608802,11.705788135528564,1.734262514591975,0.0008123659193708515,5.14002751271543e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/16,37.896275758743286,2529.159245325757,443.5418473202748,69.56905566823934,64.92222281114573,11.705788135528564,1.9846199211950637,0.00019825883004035268,5.2316177796075685e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/17,9.36162519454956,666.2328359858583,109.56419977938015,18.831015057685363,71.16960402006863,11.705788135528564,2.0118541486269144,5.178436496203112e-05,5.531557169387698e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/18,14.68669605255127,1011.7244153788868,171.89498804258915,29.62502371417486,68.89039172790112,11.705788135528564,2.017387144399856,7.906478023004427e-05,5.38342864502256e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/19,30.9353449344635,2074.7060657635293,362.05814955287104,60.0380480051399,65.03333836455572,11.705788135528564,1.7823131180984946,0.00016271174860737496,5.259736038246208e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/20,28.887985944747925,1934.3754404991198,338.113727809958,54.04104323076808,64.9211053311293,11.705788135528564,1.8189284337360825,0.00015161545007730712,5.248391160508442e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/56,69.49325609207153,4575.536502426306,813.3688896578318,124.73109979111996,64.9242386116374,11.705788135528564,1.81385296180981,0.0003593129692156652,5.170472495052065e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/57,50.575737714767456,3353.1648745297875,591.9449404318449,93.32107461830219,64.93935295263417,11.705788135528564,1.7500077392311095,0.0002631766885694169,5.203615418397994e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/58,31.284836292266846,2090.094466074241,366.15090145069473,51.831041474770245,64.98060966273931,11.705788135528564,1.7001299672811443,0.00016344646275927112,5.224462779102753e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/59,34.62853479385376,2315.46461337023,405.28769582472023,58.24304658403889,64.9289525623822,11.705788135528564,1.8325080033474117,0.00018110172373403605,5.229840789168472e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/61,67.18908452987671,4421.7682794118,786.3999243321989,123.45709880321465,64.92314734198736,11.705788135528564,1.8284724925821578,0.00034745165391780253,5.171251496413864e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/62,38.55515742301941,2570.686515547585,451.2593935430239,67.30505384382468,64.92821505235112,11.705788135528564,1.6730982907124399,0.00020132047837756467,5.2216225229926306e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/63,31.071404218673706,2074.0516472400077,363.6543527949541,58.377046710234026,64.95733759422073,11.705788135528564,1.90985221490613,0.00016266487866157132,5.235195600326644e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/64,64.8567488193512,4274.294784433086,759.0979766361327,125.54210046573644,64.92385779691999,11.705788135528564,1.8358638362314446,0.00033619775366400224,5.183697298802796e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/65,47.59863305091858,3159.7858208266216,557.0976296926516,92.2490737877979,64.95361181968158,11.705788135528564,1.6935978757403924,0.0002482337599625168,5.215144722684977e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/66,22.332815170288086,1508.9334401457904,261.3796595845131,44.540035634099695,64.90844925747312,11.705788135528564,2.0186628746623145,0.00011827044995060163,5.29581465877846e-06,0.000,0.000
