LLM,Benchmark prompt,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),HumanEval-X
llama-2-7b.Q2_K,CPP/1,114.72579026222229,2581.3010609149933,625.9824063493629,-30.807024645600016,22.5,5.794056415557861,39.676554907103394,0.0002070047932834926,1.8043440172462826e-06,0.0
llama-2-7b.Q2_K,CPP/2,31.659682512283325,712.3359471559523,262.5777787608928,-29.865023891999986,22.5,5.794056415557861,0.0,6.158698631626078e-05,1.9452812356019758e-06,0.0
llama-2-7b.Q2_K,CPP/3,76.34526658058167,1717.7336722612383,422.62937046850277,297.5522380416,22.5,5.794056415557861,3.829540276942293,0.0001588741984570445,2.080996053492778e-06,0.0
llama-2-7b.Q2_K,Go/1,211.6647391319275,4762.379629611969,1246.9514743531543,-30.378024302399997,22.5,5.794056415557861,0.0,0.00038963674645952034,1.8408202899428873e-06,0.0
llama-2-7b.Q2_K,Go/2,39.42109251022339,886.9591963291168,218.31794223652244,190.30815224639997,22.5,5.794056415557861,29.245529183750893,8.443077420859958e-05,2.141766471507695e-06,0.0
llama-2-7b.Q2_K,Go/3,35.59687900543213,800.9132498502731,196.47165452811066,98.41707873359998,22.5,5.794056415557861,4.100397693145224,7.141128451332971e-05,2.006110830739747e-06,0.0
llama-2-7b.Q2_K,Java/1,121.21693587303162,2727.350013256073,663.7395683567407,-31.420025135999992,22.5,5.794056415557861,22.228058976703057,0.0002189431323047897,1.8062090971687417e-06,0.0
llama-2-7b.Q2_K,Java/2,14.136281490325928,318.0643433332443,81.89814333671757,308.2662466128,22.5,5.794056415557861,21.808302863926,4.615388943661176e-05,3.2649243344649633e-06,0.0
llama-2-7b.Q2_K,Java/3,27.24688196182251,613.048095703125,148.1479909199128,-29.598023678400022,22.5,5.794056415557861,29.736388740301578,4.767682321031298e-05,1.749808410265669e-06,0.0
llama-2-7b.Q2_K,JavaScript/1,96.7535834312439,2176.9298779964447,531.7022506906644,-14.292011433599981,22.5,5.794056415557861,3.7376765774374823,0.00017558490644673877,1.814763859072102e-06,0.3333333333333333
llama-2-7b.Q2_K,JavaScript/2,36.648462533950806,824.5807188749314,202.70162614065487,-4.6530037224000065,22.5,5.794056415557861,3.7615646998201924,6.664276572613555e-05,1.818432783214256e-06,0.3333333333333333
llama-2-7b.Q2_K,JavaScript/3,21.85871148109436,491.81483387947077,116.98146613712241,-207.40016592,22.5,5.794056415557861,28.710333532218232,2.6158205566592014e-05,1.1966947635141391e-06,0.3333333333333333
llama-2-7b.Q2_K,Python/1,29.67486071586609,667.6790124177933,171.92269204581928,-260.6812085448,22.5,5.794056415557861,7.411249292170332,3.772712304028695e-05,1.2713496249071054e-06,
llama-2-7b.Q2_K,Python/2,34.094268560409546,767.1111345291138,187.83388268783526,244.97219597760002,22.5,5.794056415557861,3.7242033436925754,7.819627161152977e-05,2.293531285851714e-06,
llama-2-7b.Q2_K,Python/3,16.63441300392151,374.2707681655884,181.55524121358505,-347.14027771199994,22.5,5.794056415557861,0.0,1.359964335493812e-05,8.175607610399025e-07,
llama-2-7b.Q2_K,Rust/1,46.14722013473511,1038.302550315857,248.22957834588487,-230.18218414559996,22.5,5.794056415557861,22.693170051245772,6.884027187033596e-05,1.4917533855635162e-06,
llama-2-7b.Q2_K,Rust/2,39.72115159034729,893.7144362926482,220.27999991156287,200.230160184,22.5,5.794056415557861,28.797880258590453,8.564546150990452e-05,2.156167635651263e-06,
llama-2-7b.Q2_K,Rust/3,59.795854806900024,1345.3914928436282,327.09388546636376,74.98405998720006,22.5,5.794056415557861,25.640243953142196,0.00011387918543658685,1.9044662176724327e-06,
