LLM,Benchmark prompt,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),MBPP pass@1,MBPP+ pass@1
llama-2-7b.Q2_K,Mbpp/4,32.91944718360901,740.6799173355101,181.30956314182072,6.335005068000018,22.5,5.794060707092285,2.9790857014874508,6.0497101647600656e-05,1.8377313965868447e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,32.79715967178345,737.9290223121642,180.5410920898914,2.790002231999992,22.5,5.794060707092285,27.224681591844124,6.003673046192574e-05,1.8305466407073493e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,33.0102972984314,742.7233475446701,181.74987431377642,8.908007126400005,22.5,5.794060707092285,27.41572484477007,6.082663978499721e-05,1.8426565272978504e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,32.99598693847656,742.4018847942352,181.72467183833825,9.205007364000036,22.5,5.794060707092285,27.47939539268581,6.082340321428225e-05,1.8433575976282192e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,34.958205461502075,786.5510988235472,193.06676106218697,60.22404817920001,22.5,5.794060707092285,26.777268898981248,6.776447523377053e-05,1.938442615665628e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,39.45430564880371,887.7147209644316,219.035523540349,176.345141076,22.5,5.794060707092285,26.160835415147254,8.361683137060531e-05,2.119333492139169e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,39.56261610984802,890.1502096652983,219.78681397470405,184.42414753919996,22.5,5.794060707092285,26.705966027147706,8.43510007123602e-05,2.1320885473840883e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,41.39638686180115,931.4100408554078,230.23354533581323,225.70818056640002,22.5,5.794060707092285,26.011518280215085,9.04110170111588e-05,2.184031599496581e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,44.98767924308777,1012.2139799594878,250.9819391061494,275.4492203592,22.5,5.794060707092285,22.79630151452408,0.00010027051192632333,2.22884384376706e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,49.97571063041687,1124.4362318515775,279.74580585543436,292.65423412319996,22.5,5.794060707092285,3.214775146599144,0.00011057952043131301,2.2126652935278254e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,33.31479263305664,749.5744603872298,183.3670971598017,12.738010190400024,22.5,5.794060707092285,24.857710216333576,6.162809860806671e-05,1.8498718958531401e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,33.67960214614868,757.7831196784973,185.68064821203802,24.282019425600048,22.5,5.794060707092285,25.76226618918167,6.306611123147279e-05,1.8725313606082636e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,34.02203702926636,765.4859358072281,187.65112566336074,35.68802855040004,22.5,5.794060707092285,27.250168965790987,6.443980840121503e-05,1.8940608507886451e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,34.514639377593994,776.5704703330995,190.32380093929714,47.57403805920002,22.5,5.794060707092285,26.858393441743065,6.6110927141872e-05,1.9154459769552014e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,34.17479062080383,768.9246833324432,188.3643195252737,38.3280306624,22.5,5.794060707092285,27.034805704674522,6.488242615249642e-05,1.8985464131270897e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,34.36268353462219,773.1510561704637,189.57054751888654,45.74603659680001,22.5,5.794060707092285,27.908058907347545,6.571987520814787e-05,1.9125361714527234e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,33.40892028808594,751.6923755407333,184.10581260326032,20.684016547199995,22.5,5.794060707092285,27.85049986146423,6.233208545321597e-05,1.8657318140102963e-06,0.000,0.000
llama-2-7b.Q2_K,Mbpp/4,43.07039999961853,969.07484292984,240.0184506298553,271.5122172096,22.5,5.794060707092285,26.25816711416896,9.648818218167516e-05,2.240243466105022e-06,0.000,0.000
