LLM,Benchmark prompt,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),MBPP pass@1,MBPP+ pass@1
llama-2-7b.Q2_K,Mbpp/2,41.762986183166504,3271.1417039112666,488.8051924521473,92.10707368652038,73.00366143224149,11.705788135528564,1.9607262851040943,0.0002510308671232125,6.010845728852503e-06,0.066,0.045
llama-2-7b.Q2_K,Mbpp/3,35.13628125190735,2293.122367496426,411.2374528735226,73.98205921163026,64.91359232093095,11.705788135528564,2.0808030949953187,0.00018105913796089896,5.1530535250104275e-06,0.066,0.045
llama-2-7b.Q2_K,Mbpp/4,90.47928214073181,5885.764665607968,1058.9830392427202,182.69714619236765,65.0447850477335,11.705788135528564,1.9736137718596785,0.0004644817220219323,5.133569929295811e-06,0.066,0.045
llama-2-7b.Q2_K,Mbpp/6,117.50449132919312,7641.519571210765,1375.3206979497695,221.42317713758075,64.92481403426719,11.705788135528564,1.7664283188960095,0.0006020396655052137,5.123545991264093e-06,0.066,0.045
llama-2-7b.Q2_K,Mbpp/7,12.692466735839844,834.8602858876952,148.5543056386,21.992017576621947,65.7779421841407,11.705788135528564,1.7328980621721972,6.552039375794164e-05,5.162148156191819e-06,0.066,0.045
llama-2-7b.Q2_K,Mbpp/8,27.628885507583618,1803.8070060444486,323.3784004212092,49.51403958841638,64.92914561234426,11.705788135528564,1.8030595835248757,0.00014185127042819893,5.134165487394103e-06,0.066,0.045
llama-2-7b.Q2_K,Mbpp/9,22.256516456604004,1454.2926674332025,260.4886803553244,41.98103356145566,64.92620302420495,11.705788135528564,1.8835962738400136,0.00011448478846572574,5.143877241029584e-06,0.066,0.045
llama-2-7b.Q2_K,Mbpp/11,41.78547763824463,2724.5656386507717,489.0661422775439,85.25306822093626,64.9262007382686,11.705788135528564,1.9696548611633033,0.0002149819111207389,5.144895386429047e-06,0.066,0.045
llama-2-7b.Q2_K,Mbpp/12,14.048949003219604,922.0161376123227,164.43327596700897,26.7310213644123,65.63042974163412,11.705788135528564,1.9029162947851075,7.254380442777141e-05,5.163646363236603e-06,0.066,0.045
llama-2-7b.Q2_K,Mbpp/14,55.06757688522339,3586.312353047582,644.5325218107055,113.18809052909273,64.93369890580054,11.705788135528564,2.000909379852323,0.0002830921816235295,5.140814207488642e-06,0.066,0.045
llama-2-7b.Q2_K,Mbpp/16,40.78364896774292,2659.6558417229758,477.34319303703927,81.95506555637166,64.92400130569494,11.705788135528564,2.067256760169965,0.00020977297964020164,5.1435559335585135e-06,0.066,0.045
llama-2-7b.Q2_K,Mbpp/17,17.158737421035767,1124.4782455818809,200.81628372680538,33.736026989572565,64.91283608029123,11.705788135528564,1.944390216262726,8.85653787945425e-05,5.161532379763893e-06,0.066,0.045
llama-2-7b.Q2_K,Mbpp/18,24.807554006576538,1621.1399689109396,290.3505240417785,47.248037802205545,64.93320389980931,11.705788135528564,1.8350275680949544,0.00012764718139104413,5.145496462779224e-06,0.066,0.045
llama-2-7b.Q2_K,Mbpp/19,22.635092973709106,1481.9549115629827,264.9204317552008,43.660034921799706,64.92920765465858,11.705788135528564,1.9696872949808057,0.00011668570900333091,5.155079731232496e-06,0.066,0.045
llama-2-7b.Q2_K,Mbpp/20,11.811980485916138,776.7702394156861,138.24812297025994,25.466020383646537,65.76308564128965,11.705788135528564,2.1562263729826343,6.128953850546119e-05,5.188760562086856e-06,0.066,0.045
llama-2-7b.Q2_K,Mbpp/56,29.611716270446777,1930.9465527560048,346.5872082874967,58.06804644805652,64.92491639225861,11.705788135528564,1.9441659339906445,0.00015220662834626583,5.14008127580811e-06,0.066,0.045
llama-2-7b.Q2_K,Mbpp/57,170.18582105636597,11060.824404652434,1991.9164897964479,321.6462573021772,64.91621341242403,11.705788135528564,2.096466054482738,0.0008715828049268214,5.121359696811352e-06,0.066,0.045
