LLM,Benchmark prompt,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),HumanEval pass@1
llama-2-7b.Q2_K,HumanEval/0,43.1244797706604,970.2873301506041,240.1491871814669,254.4482035584,22.5,5.794223785400391,25.3798468122728,8.913538687922788e-05,2.0669324558407973e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/1,18.811684131622314,423.25675070285797,99.46735681695735,-254.390203512,22.5,5.794223785400391,26.56079356878511,1.6327596298506657e-05,8.679497372093377e-07,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/2,11.10388994216919,249.8347824811935,64.33032929430829,69.32805546240002,22.5,5.794223785400391,6.244188067557709,2.3334813545267808e-05,2.101498994208264e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/3,42.042001485824585,945.9316438436507,224.506839664542,-339.0822712656,22.5,5.794223785400391,29.467369297122428,5.0586408988993524e-05,1.203235031663511e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/4,12.576448917388916,282.966747879982,72.86244864618675,124.58409966719996,22.5,5.794223785400391,9.906988391960033,2.923221493640166e-05,2.3243616006727887e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/5,23.95653462409973,539.0128934383392,129.21491314751077,-143.74311499439995,22.5,5.794223785400391,26.952234380525745,3.191387365199497e-05,1.3321573488300072e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/6,35.593040227890015,800.8308041095735,196.55923058124336,22.869018295200036,22.5,5.794223785400391,3.4990281175175784,6.208077953715166e-05,1.744183108261327e-06,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/7,11.670936822891235,262.5932139158249,58.17402592469625,-357.6742861392,22.5,5.794223785400391,35.62380983654215,-2.245722003573468e-06,-1.9242002914185396e-07,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/8,15.31404423713684,344.56297516822815,79.24029386737675,-197.2021577616,22.5,5.794223785400391,14.419444802063163,1.3788237007751274e-05,9.003654941987528e-07,0.042682926829268296
llama-2-7b.Q2_K,HumanEval/9,29.884276151657104,672.3873996734618,163.51136389661224,106.84608547680001,22.5,5.794223785400391,23.15080315254401,5.736419094951803e-05,1.9195442666372613e-06,0.042682926829268296
