LLM,Prompt ID,Variant,Language,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),Bleu score,Total count,Vulnerable percentage,Vulnerable suggestion count,Pass rate
codellama-7b-instruct.Q5_K_M,0,instruct,c,122.91078042984009,8817.095748670954,1438.5742786533594,2053.5266428208133,64.93802569427656,11.705788135528564,16.149427911371138,0.0008021664124442772,6.526412163676478e-06,15.164153668607165,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,1,instruct,c,46.57318639755249,3076.4276911401867,545.0917692126902,764.2376113899729,64.9498758217243,11.705788135528564,16.402656793824974,0.0002858112605045087,6.136819973295378e-06,1.3261534290842656,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,0,instruct,c,40.51817345619202,2682.5054100026086,474.2316326886589,696.2805570237763,64.92616780424395,11.705788135528564,17.236217723974345,0.00025109366499476333,6.197062788781537e-06,15.164153668607165,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,1,instruct,c,46.43454337120056,3067.5939660732092,543.4663538571281,779.4086235261233,64.93676931546895,11.705788135528564,16.557322754289284,0.00028611832402211196,6.161755952564553e-06,1.3261534290842656,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,0,instruct,c,40.428491830825806,2676.762378408186,473.1827595720058,683.339546670858,64.92771188434358,11.705788135528564,16.937162377364885,0.0002498077092895999,6.179001441234253e-06,15.164153668607165,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,1,instruct,c,46.61180377006531,3079.890879910742,545.537363485186,785.0716280570325,64.9182515010871,11.705788135528564,16.405160772989447,0.0002874237006506172,6.166328642171199e-06,1.3261534290842656,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,0,instruct,c,40.48458528518677,2680.3890813095422,473.84489522911457,661.8055294438818,64.92135152987932,11.705788135528564,16.223055429083228,0.0002486838745280649,6.14268054807166e-06,15.164153668607165,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,1,instruct,c,46.6169216632843,3079.624828697894,545.5985953347835,771.4536171620878,64.90984712988592,11.705788135528564,15.898928305000208,0.00028652289368041607,6.146328059797282e-06,1.3261534290842656,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,0,instruct,c,40.52981424331665,2683.1875985483616,474.3670795493999,678.0995424787051,64.92473031189239,11.705788135528564,16.43584761235416,0.0002499621273384283,6.1673642479041704e-06,15.164153668607165,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,1,instruct,c,46.60268473625183,3079.4160895308924,545.4324041688845,764.4576115648505,64.93489892274783,11.705788135528564,15.689647645059289,0.00028604254411822446,6.137898400855743e-06,1.3261534290842656,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,0,instruct,c,40.45737290382385,2678.4776467804363,473.5143409219971,694.627555702354,64.9248396686282,11.705788135528564,17.184516978585563,0.0002506767161056889,6.196070038991484e-06,15.164153668607165,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,1,instruct,c,46.587656021118164,3078.3565206833064,545.2617475991864,779.8296238631153,64.9273514249401,11.705788135528564,16.449121843365983,0.000286964136871339,6.159660334515612e-06,1.3261534290842656,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,0,instruct,c,89.69715714454651,5878.138397506956,1049.8522931890914,1507.1442057136508,64.93080885843425,11.705788135528564,16.861009461987543,0.0005497013395478325,6.128414289228717e-06,1.6946056800613112,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,1,instruct,c,89.9308123588562,5890.967903770553,1052.585497082683,1521.6332173057622,64.91919631529565,11.705788135528564,17.191515888793024,0.0005516597518203311,6.134268526553622e-06,1.5999121379583567,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,0,instruct,c,89.70560359954834,5878.456389761359,1049.948318906917,1519.0052152034284,64.91794814810312,11.705788135528564,16.818502926861875,0.0005505012792194224,6.136754641068979e-06,1.6946056800613112,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,1,instruct,c,89.92937159538269,5892.479008979424,1052.5694355833928,1523.2042185628459,64.9198446223031,11.705788135528564,16.914827169197064,0.0005518595600090545,6.136588638604353e-06,1.5999121379583567,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,0,instruct,c,89.70180177688599,5878.575651856746,1049.9037123138396,1525.069220056885,64.9217516424405,11.705788135528564,16.906045370835436,0.0005509013237785239,6.141474450521885e-06,1.6946056800613112,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,1,instruct,c,89.9087245464325,5891.649481315828,1052.325965022993,1527.7782222234748,64.91452777136402,11.705788135528564,17.223357962627137,0.0005520877137258492,6.140535487640344e-06,1.5999121379583567,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,0,instruct,c,89.69276738166809,5877.295991833025,1049.7968412465366,1554.700243760365,64.91969937864096,11.705788135528564,17.462327157051167,0.0005527419624422309,6.162614651972522e-06,1.6946056800613112,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,1,instruct,c,89.93096375465393,5892.863225286809,1052.5871995178816,1536.818229454262,64.91976077120196,11.705788135528564,16.835148679731947,0.000552772954897895,6.146636617905576e-06,1.5999121379583567,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,2,instruct,cpp,18.98459768295288,1285.019222014555,222.1872262791488,315.818252653699,64.91816504036186,11.705788135528564,16.23690813912865,0.00011880297499049042,6.257861081626656e-06,7.392991945206213,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,3,instruct,cpp,51.14963126182556,3373.5712108548123,598.6570898256816,835.1766681419904,64.92164886868113,11.705788135528564,16.079919154990826,0.00031328923408627745,6.124955866888022e-06,15.292037766195383,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,2,instruct,cpp,19.071444511413574,1289.9047729229965,223.2035968378981,320.27125621638675,64.91679956456134,11.705788135528564,17.00510291606627,0.00011947778532011114,6.264747552216508e-06,7.392991945206213,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,3,instruct,cpp,51.18148970603943,3376.412514127841,599.0346313442768,869.10869528527,64.9298399729347,11.705788135528564,16.570032924102094,0.0003157102841724687,6.168446561163982e-06,15.292037766195383,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,2,instruct,cpp,18.926478385925293,1280.1580861256323,221.50783462723325,313.3452506745016,64.90831671660834,11.705788135528564,16.287019412626158,0.00011828074885353264,6.2494853211304385e-06,7.392991945206213,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,3,instruct,cpp,51.178091526031494,3375.901040718665,598.992597940139,860.8366886679875,64.91893531171334,11.705788135528564,17.00842160336739,0.0003151351426229172,6.157618098412779e-06,15.292037766195383,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,2,instruct,cpp,18.943927526474,1281.5088532062703,221.7101230010944,315.7802526217779,64.91044098177935,11.705788135528564,16.89252196931822,0.0001185406427998503,6.257448073225081e-06,7.392991945206213,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,3,instruct,cpp,51.174474477767944,3375.9316797431825,598.9488509372931,847.233677785475,64.9334410645113,11.705788135528564,16.275633510505813,0.00031424780663254285,6.1407138976886524e-06,15.292037766195383,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,2,instruct,cpp,18.981670379638672,1284.2811264240834,222.15374691416386,309.19224735566075,64.89877247131513,11.705788135528564,16.513333938186058,0.00011832088906955399,6.2334287079642305e-06,7.392991945206213,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,3,instruct,cpp,51.18490767478943,3376.6771013395064,599.0739827152578,838.0116704085339,64.91674080639253,11.705788135528564,16.076297602387882,0.00031370355861412834,6.128829236291455e-06,15.292037766195383,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,2,instruct,cpp,18.961325645446777,1283.1451425152684,221.9128272156844,315.27125221835206,64.92028344255682,11.705788135528564,16.4563848963379,0.00011862731586539353,6.25627754533501e-06,7.392991945206213,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,3,instruct,cpp,51.17587208747864,3376.3732080963614,598.967948911167,850.4526803603696,64.92541900522184,11.705788135528564,16.724962798542197,0.0003144876008932488,6.145231884972518e-06,15.292037766195383,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,2,instruct,cpp,87.72799301147461,5749.95887396342,1026.797765024068,1516.0992128782525,64.92188186146416,11.705788135528564,17.374210859870544,0.0005404292908686006,6.1602833065828115e-06,2.523484157537773,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,3,instruct,cpp,89.45550060272217,5861.998166594782,1047.0195024181437,1537.8992303174855,64.92148187501466,11.705788135528564,16.87757218389297,0.0005504691497687254,6.153552839790092e-06,0.18144468023806923,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,2,instruct,cpp,87.77680492401123,5752.861091285176,1027.3654992539832,1486.2581890039196,64.9153474009059,11.705788135528564,17.383453041666797,0.0005387107393624178,6.13727897510945e-06,2.523484157537773,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,3,instruct,cpp,89.47618579864502,5863.6219438938015,1047.2611114633348,1511.8192094529804,64.91992256637135,11.705788135528564,16.93707955905463,0.0005488911291210494,6.134494046899365e-06,0.18144468023806923,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,2,instruct,cpp,87.74761080741882,5751.0390118275245,1027.0308284027383,1486.4481891555315,64.91806579599391,11.705788135528564,16.784961352253497,0.0005385825700789039,6.137860223464548e-06,2.523484157537773,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,3,instruct,cpp,89.47729897499084,5863.124507495854,1047.272400562315,1531.9742255778478,64.92116353760984,11.705788135528564,17.056118028115137,0.0005501729110574105,6.148742947763605e-06,0.18144468023806923,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,2,instruct,cpp,87.76693820953369,5752.370551892759,1027.248971750964,1499.928199941536,64.92071568829493,11.705788135528564,17.341194813132223,0.0005395620260254776,6.147668325142367e-06,2.523484157537773,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,3,instruct,cpp,89.44204711914062,5861.622007293851,1046.860115411284,1522.6432181135508,64.9156359356719,11.705788135528564,17.168868413935755,0.0005494400446063245,6.142972598496621e-06,0.18144468023806923,20.0,30.0,6.0,70.0
codellama-7b-instruct.Q5_K_M,4,instruct,csharp,45.95207166671753,3036.213405968783,537.8200321599948,746.4175971337638,64.93673057135402,11.705788135528564,15.076245261443182,0.00028155539309104687,6.12715342048384e-06,20.632425634649014,20.0,60.0,12.0,40.0
codellama-7b-instruct.Q5_K_M,5,instruct,csharp,38.22037100791931,2533.484982786363,447.3375354394754,635.6085084881613,64.91026907130356,11.705788135528564,16.60803532073923,0.00023567577806173271,6.1662347027688554e-06,25.720808987588725,20.0,60.0,12.0,40.0
codellama-7b-instruct.Q5_K_M,4,instruct,csharp,45.95373892784119,3035.239713189834,537.8401153135819,768.6136148903345,65.01018269150144,11.705788135528564,15.475459163359476,0.00028293971952427524,6.157055467642384e-06,20.632425634649014,20.0,60.0,12.0,40.0
codellama-7b-instruct.Q5_K_M,5,instruct,csharp,38.21063780784607,2534.340815471034,447.221348423496,640.3465122774676,64.92175811245689,11.705788135528564,16.596695013130528,0.00023603274582592544,6.17714750046541e-06,25.720808987588725,20.0,60.0,12.0,40.0
codellama-7b-instruct.Q5_K_M,4,instruct,csharp,45.936760663986206,3034.1603093263057,537.6424960775684,763.6376109102728,64.87625856124157,11.705788135528564,16.08817491756431,0.0002825322219081613,6.150460281141737e-06,20.632425634649014,20.0,60.0,12.0,40.0
codellama-7b-instruct.Q5_K_M,5,instruct,csharp,38.21157097816467,2534.089717270152,447.2295843026282,637.0165096134529,64.92406748498877,11.705788135528564,16.583793868358374,0.0002357999091620406,6.170903292533675e-06,25.720808987588725,20.0,60.0,12.0,40.0
codellama-7b-instruct.Q5_K_M,4,instruct,csharp,45.960864543914795,3035.4055463224977,537.903565910692,758.4256067396211,64.89658281157416,11.705788135528564,16.13634266380952,0.000282290728817949,6.141980391779297e-06,20.632425634649014,20.0,60.0,12.0,40.0
codellama-7b-instruct.Q5_K_M,5,instruct,csharp,38.20170521736145,2534.3057194429252,447.1167826209042,637.6655101323792,64.92619487989045,11.705788135528564,16.523710026203148,0.00023584892863924768,6.1737801309471885e-06,25.720808987588725,20.0,60.0,12.0,40.0
codellama-7b-instruct.Q5_K_M,4,instruct,csharp,45.944420337677,3034.3034364408163,537.7239896969048,749.947599956613,65.02623803573606,11.705788135528564,14.791549883411,0.0002816547086102392,6.130335447485591e-06,20.632425634649014,20.0,60.0,12.0,40.0
codellama-7b-instruct.Q5_K_M,5,instruct,csharp,38.136316776275635,2529.593631673274,446.3544070211342,614.696491757094,64.9297833388842,11.705788135528564,16.184545790897477,0.0002339953222407152,6.135760923463963e-06,25.720808987588725,20.0,60.0,12.0,40.0
codellama-7b-instruct.Q5_K_M,4,instruct,csharp,45.731365442276,3021.3247610578533,535.2349233834052,752.8196022549948,65.02771946801683,11.705788135528564,14.525313836850305,0.0002808338687653818,6.140946504644866e-06,20.632425634649014,20.0,60.0,12.0,40.0
codellama-7b-instruct.Q5_K_M,5,instruct,csharp,38.201377868652344,2532.758176204919,447.11641143421343,639.1215112968141,64.89206043967184,11.705788135528564,16.923448780712004,0.0002358429388307966,6.173676238634494e-06,25.720808987588725,20.0,60.0,12.0,40.0
codellama-7b-instruct.Q5_K_M,4,instruct,csharp,51.56177067756653,3400.7153885701373,603.481782805506,887.2437097945607,64.91789243806993,11.705788135528564,17.264251580707324,0.0003187656910908155,6.182209937749556e-06,16.262343205331078,20.0,60.0,12.0,40.0
codellama-7b-instruct.Q5_K_M,5,instruct,csharp,85.81262564659119,5623.657581922468,1004.3772265178316,1445.7161565719189,64.9184241483271,11.705788135528564,16.93766861560542,0.0005261506514296367,6.131389728086445e-06,0.21424815172740333,20.0,60.0,12.0,40.0
codellama-7b-instruct.Q5_K_M,4,instruct,csharp,51.571048974990845,3400.9249227377413,603.5955836213301,871.7716974160794,64.92515938040434,11.705788135528564,16.817272970304113,0.0003177784812407415,6.161954964205727e-06,16.262343205331078,20.0,60.0,12.0,40.0
codellama-7b-instruct.Q5_K_M,5,instruct,csharp,85.79397201538086,5622.106498681584,1004.162409895436,1451.7701614165546,64.91824688669004,11.705788135528564,17.04413132498549,0.0005264300988932895,6.135980028980508e-06,0.21424815172740333,20.0,60.0,12.0,40.0
codellama-7b-instruct.Q5_K_M,4,instruct,csharp,51.58863139152527,3402.473259976438,603.8021727372254,883.8517070790531,64.92003422134687,11.705788135528564,17.214515732163512,0.00031868007711974175,6.177331488039688e-06,16.262343205331078,20.0,60.0,12.0,40.0
codellama-7b-instruct.Q5_K_M,5,instruct,csharp,85.83421683311462,5624.733630783297,1004.6310763511873,1468.8311750616024,64.91182656760691,11.705788135528564,17.202101103067434,0.0005277436791507258,6.148406761569281e-06,0.21424815172740333,20.0,60.0,12.0,40.0
