LLM,Prompt ID,Variant,Language,Execution time (s),CPU Energy (J),RAM Energy (J),GPU Energy (J),CPU Power (W),RAM Power (W),GPU Power (W),CO2 emissions (Kg),CO2 emissions rate (Kg/s),Bleu score,Total count,Vulnerable percentage,Vulnerable suggestion count,Pass rate
codegeex4-all-9b-Q6_K_L,0,autocomplete,c,128.718359708786,9059.015000206196,1506.5518016635533,82.56106604880853,64.89274723611966,11.705788135528564,0.6439989785867486,0.0006939177884591758,5.390977557740045e-06,12.287310519103878,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,1,autocomplete,c,130.4302577972412,8525.482737380738,1526.5910435861078,84.79506783606871,64.90839686972161,11.705788135528564,0.6963584416557058,0.0006606000322981688,5.064775945816933e-06,12.374002381226228,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,0,autocomplete,c,12.58533525466919,870.8629686898117,147.30115704339505,8.487006789648088,69.19842857620226,11.705788135528564,0.6744385114736238,6.690485804042343e-05,5.316096606612173e-06,4.3209455931006255,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,1,autocomplete,c,134.04976558685303,8756.046234831372,1568.950143113613,89.54207163356375,64.91213865120105,11.705788135528564,0.6682163606946685,0.0006786952202676043,5.063009377870688e-06,13.57186558151123,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,0,autocomplete,c,12.581156253814697,869.8460638763062,147.25294463674993,8.389006711195801,69.14061218040737,11.705788135528564,0.6668692909560993,6.682905994769044e-05,5.31183768800482e-06,4.3209455931006255,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,1,autocomplete,c,133.9391746520996,8748.126815495836,1567.6601242374131,88.49507079603525,64.90836992472295,11.705788135528564,0.7136360581669632,0.0006780268280778397,5.062199538252949e-06,13.57186558151123,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,0,autocomplete,c,12.596243381500244,871.4814991846342,147.4287950292421,8.097006477603141,69.18764338776056,11.705788135528564,0.6428890172626242,6.692806882742349e-05,5.3133356351083925e-06,4.3209455931006255,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,1,autocomplete,c,134.05808186531067,8756.202056956025,1569.0461744131937,83.68806695036035,64.90973345889613,11.705788135528564,0.6611490258259495,0.0006783301389631292,5.059971987698984e-06,13.57186558151123,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,0,autocomplete,c,12.58321475982666,870.7814866246291,147.27568470559766,8.227006581634777,69.20360523659895,11.705788135528564,0.6538902126654039,6.688094432194786e-05,5.31509201730172e-06,4.3209455931006255,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,1,autocomplete,c,134.05801463127136,8756.601653275728,1569.0559313204947,88.92907114319559,64.90864375668542,11.705788135528564,0.6773801386826503,0.000678698361769374,5.062721267625396e-06,13.57186558151123,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,0,autocomplete,c,128.08683967590332,8369.069560250306,1499.1436548974227,84.12206729757065,64.88911209850819,11.705788135528564,0.6298071780398031,0.0006485743385939109,5.063551729709244e-06,12.287310519103878,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,1,autocomplete,c,130.48850464820862,8528.322270652352,1527.265057217323,88.84107107281491,64.90220985897187,11.705788135528564,0.6978658208859945,0.0006610926734816397,5.066290515504925e-06,12.374002381226228,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,0,autocomplete,c,128.05284070968628,8366.903304517287,1498.7611456171007,82.91306633043116,64.89692226917761,11.705788135528564,0.6827791716964178,0.0006483294522917302,5.062983754976462e-06,12.287310519103878,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,1,autocomplete,c,130.47649312019348,8527.29303582896,1527.124486305722,85.82606866078257,64.89853947373,11.705788135528564,0.6480406778378104,0.000660819957671825,5.06466676003535e-06,12.374002381226228,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,0,autocomplete,c,128.0180549621582,8364.584460662214,1498.3532728431992,81.55306524238459,64.90213146612604,11.705788135528564,0.6290425029233536,0.0006480631288445076,5.062279137392561e-06,12.287310519103878,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,1,autocomplete,c,130.48496794700623,8527.760808203187,1527.2119635661495,86.26906901523235,64.9117017027964,11.705788135528564,0.645802153107863,0.0006608850116825734,5.064836372194061e-06,12.374002381226228,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,0,autocomplete,c,128.053302526474,8367.321820852112,1498.7523487716162,86.42906914322901,64.89897972272385,11.705788135528564,0.6753847931936137,0.0006485852839808118,5.064963348733017e-06,12.287310519103878,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,1,autocomplete,c,130.51764178276062,8529.915345926825,1527.606166622671,84.21306737044776,64.90671819423324,11.705788135528564,0.6267621520491826,0.0006609171225339218,5.063814466047293e-06,12.374002381226228,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,0,autocomplete,c,127.70912265777588,8344.518211609256,1494.729033902871,83.66606693285262,64.8998662621834,11.705788135528564,0.6257054504519656,0.0006466569660183764,5.063514278077323e-06,12.287310519103878,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,1,autocomplete,c,130.51317143440247,8529.799501834132,1527.5521268640678,81.74506539601056,64.90749737644607,11.705788135528564,0.632612220504353,0.0006607452166438812,5.06267075868262e-06,12.374002381226228,20.0,50.0,10.0,50.0
codegeex4-all-9b-Q6_K_L,2,autocomplete,cpp,212.6761393547058,13863.955214155303,2489.2166301548987,143.56211484965465,64.86210581254701,11.705788135528564,0.6780929200192226,0.0010750600751357495,5.054916260929212e-06,1.5906904519295926,20.0,0.0,0.0,100.0
codegeex4-all-9b-Q6_K_L,3,autocomplete,cpp,14.15017056465149,974.7925958334514,165.6191281360817,9.162007329610589,68.890665757734,11.705788135528564,0.6475522567311527,7.491548478650988e-05,5.294316732383148e-06,19.646671585187438,20.0,0.0,0.0,100.0
codegeex4-all-9b-Q6_K_L,2,autocomplete,cpp,136.78907990455627,8937.033281620905,1601.0008607614068,92.8660742927856,64.88319027251572,11.705788135528564,0.685072930418249,0.0006927950959258502,5.064695927549507e-06,1.5906904519295926,20.0,0.0,0.0,100.0
